---------------10	
87	35.9157	
90	39.3002	
89	39.1353	
89	33.6047	
91	38.55	
88	39.9897	
90	32.6913	
84	30.4813	
91	34.8849	
88	33.1383	
85	30.5874	
92	34.1561	
91	38.6488	
87	35.158	
85	31.2316	
90	33.3364	
88	35.0542	
88	31.7112	
87	31.206	
88	32.2978	
85	29.2767	
93	31.2463	
90	29.916	
94	35.1174	
91	36.2706	
90	36.3904	
83	30.5525	
90	34.3738	
86	36.2938	
91	32.5311	
89	33.8177	
89	31.8856	
94	34.5006	
87	30.1141	
90	31.282	
87	32.6128	
89	31.4579	
89	31.4157	
91	32.0983	
88	31.2264	
91	30.27	
87	34.8039	
86	33.2819	
82	28.6874	
82	32.118	
91	33.3292	
95	33.5711	
85	29.8904	
84	31.1098	
90	33.9314	
89	32.6453	
89	29.6388	
88	31.433	
95	33.9509	
88	32.1313	
88	33.7808	
94	32.0534	
87	32.5356	
84	29.0647	
87	33.9046	
89	33.3691	
84	31.7142	
90	31.3776	
93	32.663	
94	37.877	
89	31.0164	
95	33.982	
88	29.7277	
90	38.7624	
91	32.7544	
88	32.9115	
94	37.8815	
88	28.7992	
89	34.5987	
83	25.0717	
87	32.9042	
91	34.6747	
90	38.6427	
89	35.0549	
92	38.33	
94	40.8215	
88	42.4116	
91	35.1191	
89	40.4151	
94	45.2678	
87	39.0185	
91	38.1409	
90	38.9513	
84	40.058	
83	34.4353	
84	39.2752	
92	35.4925	
93	40.2725	
85	34.2572	
90	43.3139	
86	30.7749	
87	39.8566	
82	37.2474	
93	41.9945	
82	33.096	
84	33.083	
90	40.5531	
86	36.8639	
92	38.5506	
87	40.2367	
87	37.7762	
87	39.6773	
87	38.4096	
86	34.7253	
88	32.5059	
92	39.1685	
93	43.7771	
86	39.0617	
92	39.2983	
92	37.3551	
90	39.1682	
90	40.0572	
81	36.0414	
94	41.825	
89	35.0678	
90	37.282	
89	37.5397	
89	40.0137	
88	37.7657	
89	38.0582	
89	37.1039	
86	41.1284	
89	35.4578	
86	32.2648	
87	36.5556	
86	37.5705	
88	34.1752	
94	41.6251	
87	35.0009	
90	39.9155	
94	37.4846	
86	36.4918	
83	36.4917	
93	42.5461	
93	42.4297	
88	37.4334	
89	40.6485	
89	41.9374	
88	43.6259	
87	39.2432	
97	44.6447	
93	38.4671	
91	43.2763	
87	37.5156	
85	34.8519	
90	37.3172	
93	39.5424	
83	32.4476	
87	38.5532	
86	42.2401	
87	40.7897	
86	34.0589	
90	39.7334	
92	38.6543	
89	37.8951	
91	38.3585	
91	39.8363	
88	35.248	
90	39.1092	
85	39.2237	
86	39.0736	
90	41.9079	
93	43.0621	
83	37.3746	
91	41.4159	
88	40.7827	
88	37.4933	
90	36.4047	
88	36.3267	
85	36.3688	
86	40.9751	
92	42.8654	
89	41.5934	
85	37.3173	
89	36.7362	
91	44.0137	
88	35.0375	
90	40.69	
87	36.3079	
89	39.7174	
88	36.5556	
94	41.0538	
88	34.2986	
84	34.0098	
89	42.1978	
85	34.2678	
89	40.6548	
87	39.9929	
89	40.6938	
83	33.2669	
84	36.5874	
87	38.5849	
91	37.577	
91	38.2652	
86	38.1923	
90	33.6913	
88	40.1075	
92	37.2666	
89	43.119	
86	38.0989	
89	37.0447	
89	37.013	
88	36.6312	
87	42.9872	
90	39.473	
83	35.3192	
90	41.5975	
89	36.7648	
91	39.8059	
88	39.7767	
86	40.592	
87	39.9379	
88	43.0132	
83	34.8653	
83	33.405	
88	38.4727	
89	35.7947	
89	38.4641	
88	36.6964	
89	35.2521	
81	40.0746	
89	36.1271	
92	39.4398	
87	32.8341	
93	41.8123	
89	39.2021	
91	38.6139	
91	41.1205	
83	35.1121	
89	37.4758	
88	34.8565	
92	38.0382	
83	36.5811	
91	40.2697	
83	36.2913	
85	37.7852	
88	40.2261	
85	32.2496	
82	34.8042	
95	41.7323	
88	32	
89	33.882	
86	29.1435	
91	32.3453	
84	31.2547	
86	31.7388	
87	32.7375	
82	32.1292	
86	30.6592	
87	32.9743	
91	31.8772	
87	31.402	
88	29.576	
93	35.2641	
85	35.4202	
95	32.7921	
86	29.6757	
86	32.6963	
84	26.8436	
82	28.9425	
84	30.6647	
94	36.9624	
87	30.801	
87	32.4267	
95	32.6308	
88	30.9633	
94	36.5863	
88	31.5786	
85	33.66	
87	31.952	
86	35.1952	
85	32.0122	
89	38.5682	
87	29.0727	
89	36.1841	
88	34.0377	
89	32.4414	
88	34.225	
88	35.403	
88	35.4855	
87	31.8158	
95	41.6511	
92	33.7064	
84	32.5519	
88	30.8037	
89	38.7969	
91	33.3223	
87	35.9254	
89	33.8425	
90	31.168	
85	32.3152	
91	31.4203	
86	30.7639	
89	34.7521	
91	35.5739	
86	30.15	
85	33.4323	
89	30.6044	
89	32.3973	
93	32.6937	
91	37.6254	
89	34.3837	
93	36.9799	
89	35.4467	
91	33.6782	
88	30.5233	
82	29.4773	
85	27.4844	
89	37.9633	
91	32.5226	
87	28.6968	
89	33.8915	
90	35.5633	
87	31.8073	
88	32.5405	
96	32.9472	
84	32.8414	
91	37.2225	
91	35.0296	
92	35.1718	
88	30.645	
91	36.4642	
92	32.4482	
91	30.466	
88	33.3667	
86	30.5226	
92	27.2505	
89	31.7267	
91	36.0713	
89	32.751	
90	31.086	
91	35.5845	
89	34.4163	
91	32.2949	
91	32.419	
86	27.6118	
92	37.2703	
89	32.2676	
91	35.7402	
86	31.8574	
86	30.433	
86	31.7496	
89	32.5365	
90	34.796	
89	31.5364	
82	29.0118	
88	34.9139	
85	30.5112	
90	29.9025	
92	32.2115	
94	38.9923	
92	36.6332	
92	33.2196	
89	29.6582	
93	34.9638	
92	40.3311	
90	34.2295	
86	33.2301	
86	31.434	
89	34.0774	
89	33.3229	
88	33.3003	
89	35.274	
90	32.1377	
86	30.9804	
89	35.0004	
87	28.3566	
87	33.0821	
86	31.9241	
91	31.6108	
84	32.0169	
92	33.7724	
86	32.9529	
86	30.5844	
91	31.9573	
87	30.1391	
84	29.3371	
88	28.5043	
96	37.0506	
86	29.3902	
89	33.0719	
83	31.5814	
85	30.2772	
90	33.7919	
89	34.244	
89	40.157	
87	35.4986	
91	37.9428	
90	35.8766	
90	36.7933	
91	41.3927	
89	40.5142	
91	45.4083	
90	40.9854	
88	36.5619	
89	39.78	
83	31.2799	
83	34.6297	
91	39.2538	
93	41.7189	
88	42.3211	
85	35.353	
88	40.7516	
86	41.9737	
91	39.5656	
80	31.5659	
84	35.2268	
82	37.3664	
84	38.2471	
88	36.0884	
89	38.6462	
91	36.8617	
86	34.3375	
84	33.739	
92	41.1829	
87	37.603	
84	38.5236	
93	45.3696	
94	41.1972	
85	35.4551	
89	36.4288	
91	38.1551	
87	35.0591	
83	35.061	
86	41.6275	
92	42.6047	
87	39.6037	
84	37.1129	
89	41.464	
88	36.1236	
82	34.8688	
90	39.0704	
86	36.2356	
91	36.8718	
90	39.189	
92	41.2908	
86	38.866	
93	45.2487	
87	34.0526	
90	35.2493	
92	40.9337	
90	35.2729	
85	36.5178	
91	39.5901	
91	38.8475	
89	37.0882	
85	36.1251	
89	37.351	
90	43.7635	
91	42.4342	
95	39.9123	
86	39.2277	
86	33.1473	
83	34.897	
85	35.4666	
89	37.9505	
82	32.0733	
91	39.5413	
86	38.901	
87	35.5445	
91	35.8283	
87	32.9524	
90	37.6886	
90	39.9653	
89	41.358	
85	37.7622	
92	40.8112	
87	38.996	
91	40.9895	
90	42.2677	
88	41.2622	
90	42.8048	
86	38.1385	
90	33.3338	
90	36.5737	
88	38.5977	
87	38.342	
87	36.4464	
93	46.0562	
90	42.0109	
89	44.8404	
85	34.0465	
87	34.006	
87	36.5103	
84	35.5674	
90	37.8776	
90	37.7969	
87	38.0921	
88	38.3338	
95	39.0938	
85	39.5652	
89	36.1049	
90	34.4941	
85	36.1857	
90	39.8951	
84	34.3038	
89	40.2632	
93	41.4189	
87	39.9004	
91	42.2194	
82	32.8088	
89	34.0263	
90	35.3526	
89	39.162	
89	38.9076	
90	39.9982	
88	38.6186	
90	36.8238	
86	36.4653	
86	41.1369	
86	38.3498	
89	42.5456	
91	39.347	
84	37.5223	
89	36.7579	
89	39.3866	
88	36.5771	
88	42.461	
84	30.476	
85	34.1749	
90	41.4393	
92	38.6776	
86	39.3963	
87	39.8321	
82	34.0388	
86	41.681	
90	40.4249	
92	40.2054	
89	37.2212	
90	38.9153	
89	34.8367	
85	38.2511	
92	44.6147	
92	36.5834	
90	35.2978	
89	37.4134	
85	35.4212	
93	41.0036	
84	38.5168	
88	36.4998	
88	35.7058	
86	34.965	
87	37.6394	
91	41.0816	
89	41.3497	
78	33.5254	
92	46.5544	
85	35.883	
93	40.5048	
87	38.4083	
94	43.03	
91	33.5551	
87	32.3769	
86	38.8414	
84	38.4584	
91	41.189	
87	43.9495	
89	41.6165	
89	38.48	
89	41.7385	
87	38.8791	
89	39.2946	
87	34.4953	
89	41.8223	
88	38.8531	
90	36.581	
91	41.9605	
91	41.3979	
88	34.6274	
91	39.2669	
92	37.4637	
84	32.9568	
87	39.8415	
84	34.6536	
90	38.6943	
86	39.1815	
92	39.0282	
88	35.5603	
89	42.6323	
94	42.4238	
89	37.7192	
87	37.7285	
89	38.7128	
89	34.3109	
89	33.9923	
92	38.7836	
92	37.1323	
90	37.2529	
90	37.6903	
85	32.8071	
86	36.6559	
84	35.0887	
83	38.1008	
88	41.2446	
91	38.2024	
93	47.1657	
86	41.5796	
86	42.2457	
92	39.0144	
87	34.8023	
88	38.5259	
87	33.5459	
89	31.0323	
85	34.2543	
92	42.3052	
88	34.04	
92	44.674	
88	37.9324	
89	37.5553	
89	34.1737	
84	39.8632	
88	35.88	
87	36.2952	
89	36.8862	
87	41.172	
83	32.4121	
91	38.7785	
86	39.6792	
82	36.3654	
91	41.2755	
83	34.2027	
89	37.1824	
