---------------10	
74	21.1633	
71	20.4446	
74	23.7299	
78	26.3941	
70	23.802	
73	21.3981	
76	22.1364	
77	19.4851	
74	22.2809	
80	23.8241	
75	20.5781	
74	23.688	
71	22.8012	
70	22.7628	
63	19.9893	
68	21.3946	
70	22.2722	
70	20.2604	
68	19.0481	
72	21.5962	
77	22.2461	
82	26.5517	
73	22.0996	
75	20.7403	
75	25.7231	
76	22.9884	
80	24.4898	
71	25.7557	
71	21.4927	
68	19.9689	
67	18.3434	
76	23.3167	
67	19.2783	
63	19.5086	
75	23.0813	
77	24.2186	
79	23.4631	
70	18.7399	
72	21.7702	
77	23.5492	
75	23.6356	
69	22.6709	
75	21.037	
69	19.0725	
68	20.5676	
73	23.013	
69	22.6454	
67	22.1154	
71	22.8755	
77	22.8113	
75	20.1441	
72	24.7208	
70	21.9209	
84	24.1272	
79	27.5245	
81	23.5378	
80	29.5702	
72	23.8859	
68	17.8512	
67	21.1156	
73	22.2425	
71	21.419	
75	22.8392	
71	20.8748	
79	24.9438	
70	18.5947	
66	17.088	
71	20.2932	
81	24.2328	
74	21.0664	
77	26.7801	
67	21.1821	
70	17.8458	
73	20.8608	
74	22.7074	
71	21.7379	
74	21.1692	
75	22.991	
71	17.859	
72	24.0658	
72	19.7878	
69	19.3014	
68	22.6445	
77	22.8839	
74	19.154	
80	23.1827	
73	20.9579	
77	23.606	
68	21.4792	
75	22.2185	
72	19.4786	
68	20.6093	
76	22.2791	
75	24.1683	
69	22.2922	
78	19.1272	
78	24.0947	
71	19.1438	
79	26.0853	
72	21.6514	
73	22.9595	
75	21.8068	
70	20.5258	
69	19.6291	
69	19.8744	
73	19.7996	
71	20.0572	
69	20.9217	
69	17.9648	
79	26.4697	
74	23.4941	
68	19.6348	
70	23.7075	
77	26.2417	
75	23.6333	
70	20.5119	
76	23.7359	
76	23.1922	
73	23.4319	
71	21.6132	
68	23.7005	
77	24.2894	
69	19.9979	
76	20.9952	
75	23.8034	
69	23.2303	
76	24.7711	
74	21.4855	
74	23.2047	
70	21.5947	
70	21.5955	
76	25.9925	
73	23.0981	
74	22.5778	
72	22.1668	
77	25.1121	
71	23.4724	
73	21.865	
68	18.8757	
71	20.8187	
68	23.9049	
76	25.7927	
68	19.8543	
68	20.0531	
74	25.1437	
75	23.2505	
67	22.7941	
71	25.0844	
77	25.4665	
70	20.1886	
74	22.2075	
